aalib 1.4rc5-12
accounts-qml-module 0.7-1
accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpi 1.7-2
adwaita-icon-theme 3.30.0-1
akonadi 18.08.2-1
akonadi-calendar 18.08.2-1
akonadi-calendar-tools 18.08.2-1
akonadi-contacts 18.08.2-1
akonadi-import-wizard 18.08.2-1
akonadi-mime 18.08.2-1
akonadi-notes 18.08.2-1
akonadi-search 18.08.2-1
akonadiconsole 18.08.2-1
akregator 18.08.2-1
alsa-lib 1.1.7-1
alsa-utils 1.1.7-1
analitza 18.08.2-1
android-tools 9.0.0_r3-1
aom 1.0.0-1
apache 2.4.37-1
apm 2.1.3-2
appstream 0.12.3-1
appstream-qt 0.12.3-1
apr 1.6.5-1
apr-util 1.6.1-3
arc-kde 20180614-2
archlinux-appstream-data 20181016-1
archlinux-keyring 20181031-1
argon2 20171227-3
ark 18.08.2-1
artikulate 18.08.2-1
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atom 1.32.1-1
attica 5.51.0-1
attica-qt4 0.4.2-4
attr 2.4.48-1
audiocd-kio 18.08.2-1
audiofile 0.3.6-4
audit 2.8.4-2
autoconf 2.69-4
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
avogadrolibs 1.92.0-1
baloo 5.51.0-1
baloo-widgets 18.08.2-1
bash 4.4.023-1
bc 1.07.1-1
binutils 2.31.1-3
bison 3.1-1
blas 3.8.0-2
blinken 18.08.2-1
blogilo 17.08.3-1
bluedevil 1:5.14.3-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-qt 5.51.0-1
bomber 18.08.2-1
boost-libs 1.68.0-2
bovo 18.08.2-1
breeze 5.14.3-1
breeze-gtk 5.14.3-1
breeze-icons 5.51.0-1
brotli 1.0.7-1
btrfs-progs 4.17.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.40-1
ca-certificates-utils 20180821-1
cabal-install 2.4.0.0-6
cairo 1.16.0-1
calendarsupport 18.08.2-1
cantarell-fonts 1:0.111-1
cantor 18.08.2-2
cblas 3.8.0-2
cdparanoia 10.2-7
cervisia 18.08.2-1
cfitsio 3.450-1
cgroup_event_listener 4.19-1
chemical-mime-data 0.1.94-8
chromium 70.0.3538.77-2
cifs-utils 6.8-2
clang 7.0.0-1
clucene 2.3.3.4-10
cmake 3.12.4-1
colord 1.4.3-2
compiler-rt 7.0.0-2
convertlit 1.8-8
coreutils 8.30-1
cower 17-2
cpupower 4.19-1
cracklib 2.9.6-1
cronie 1.5.2-1
cryfs 0.9.9-4
crypto++ 7.0.0-1
cryptsetup 2.0.5-1
curl 7.62.0-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.1-1
deluge 1.3.15+14+gb8e5ebe82-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.182-1
dhclient 4.4.1-4
dhcpcd 7.0.8-1
dialog 1:1.3_20180621-1
diffutils 3.6-1
discount 2.2.4-1
discover 5.14.3-1
djvulibre 3.5.27-4
dkms 2.5-4
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
dolphin 18.08.2-1
dolphin-plugins 18.08.2-1
dosfstools 4.1-1
dotconf 1.3-5
double-conversion 3.1.1-1
dragon 18.08.2-1
drkonqi 5.14.3-1
e2fsprogs 1.44.4-1
ebook-tools 0.2.2-4
editorconfig-core-c 0.12.2-1
efibootmgr 16-1
efivar 35-1
egl-wayland 1.1.0-1
eglexternalplatform 1.0+3+g7c8f8e2-1
electron 2.0.12-1
elfutils 0.174-1
enchant 2.2.3-1
eventviews 18.08.2-1
exiv2 0.26-2
expac 9-1
expat 2.2.6-1
extra-cmake-modules 5.51.0-1
fakeroot 1.23-1
fakeuser-git r8.2f456e0-1
farstream 0.2.8-1
ffmpeg 1:4.1-1
ffmpegthumbs 18.08.2-1
fftw 3.3.8-1
file 5.35-1
filelight 18.08.2-1
filesystem 2018.8-1
findutils 4.6.0-2
firefox 63.0.1-1
flac 1.3.2-1
flex 2.6.4-1
fluidsynth 1.1.11-2
fontconfig 2:2.13.1+12+g5f5ec56-1
frameworkintegration 5.51.0-1
freecell-solver 5.0.0-1
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.6-1
fuse2 2.9.8-1
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.8-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.0-4
gd 2.2.5-1
gdb 8.2-2
gdb-common 8.2-2
gdbm 1.18-1
gdk-pixbuf2 2.38.0-1
genymotion 2.12.1-2
geoclue2 2.5.1-1
gettext 0.19.8.1-2
ghc 8.6.1-1
ghc-libs 8.6.1-1
ghc-static 8.6.1-1
ghostscript 9.25-4
giflib 5.1.4-1
git 2.19.1-1
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.1+67+g17519e039-1
glibc 2.28-5
glu 9.0.0-5
gmp 6.1.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-mime-data 2.18.0-7
gnugo 3.8-6
gnupg 2.2.10-1
gnutls 3.5.19-2
gobject-introspection-runtime 1.58.0+8+gfdaa3b1a-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
granatier 18.08.2-1
grantlee 5.1.0-1
grantlee-editor 18.08.2-1
grantleetheme 18.08.2-1
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-1
groff 1.22.3-7
gsettings-desktop-schemas 3.28.1-1
gsl 2.5-1
gsm 1.0.18-1
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gstreamer 1.14.4-1
gtk-update-icon-cache 3.24.1+8+g220f77d8c1-1
gtk2 2.24.32-1
gtk3 3.24.1+8+g220f77d8c1-1
gtksourceview3 3.24.9-2
gtkspell3 3.0.9-3
guile 2.2.4-1
guile2.0 2.0.14-1
gummi 1:0.7.4-1
gwenview 18.08.2-1
gzip 1.9-1
harfbuzz 2.1.1-1
harfbuzz-icu 2.1.1-1
haskell-aeson 1.4.1.0-7
haskell-aeson-compat 0.3.9-9
haskell-annotated-wl-pprint 0.7.0-9
haskell-ansi-terminal 0.8.2-1
haskell-ansi-wl-pprint 0.6.8.2-12
haskell-asn1-encoding 0.9.5-73
haskell-asn1-parse 0.9.4-84
haskell-asn1-types 0.3.2-80
haskell-async 2.2.1-3
haskell-attoparsec 0.13.2.2-32
haskell-attoparsec-iso8601 1.0.1.0-6
haskell-auto-update 0.1.4-9
haskell-base-compat 0.10.5-1
haskell-base-orphans 0.8-13
haskell-base-prelude 1.3-2
haskell-base16-bytestring 0.1.1.6-10
haskell-base64-bytestring 1.0.0.1-13
haskell-basement 0.0.8-2
haskell-bifunctors 5.5.3-15
haskell-bindings-uname 0.1-7
haskell-bitarray 0.0.1.1-8
haskell-blaze-builder 0.4.1.0-4
haskell-blaze-html 0.9.1.1-11
haskell-blaze-markup 0.8.2.2-5
haskell-byteable 0.1.1-10
haskell-call-stack 0.1.0-8
haskell-case-insensitive 1.2.0.11-4
haskell-cereal 0.5.7.0-2
haskell-clock 0.7.2-9
haskell-cmdargs 0.10.20-4
haskell-colour 2.3.4-12
haskell-comonad 5.0.4-18
haskell-conduit 1.3.1-7
haskell-conduit-extra 1.3.0-69
haskell-connection 0.2.8-103
haskell-constraints 0.10.1-13
haskell-contravariant 1.5-3
haskell-cookie 0.4.4-4
haskell-cpphs 1.20.8-11
haskell-cryptohash 0.11.9-82
haskell-cryptohash-sha256 0.11.101.0-5
haskell-cryptonite 0.25-26
haskell-cryptonite-conduit 0.2.2-125
haskell-data-default 0.7.1.1-16
haskell-data-default-class 0.1.2.0-9
haskell-data-default-instances-containers 0.0.1-21
haskell-data-default-instances-dlist 0.0.1-29
haskell-data-default-instances-old-locale 0.0.1-21
haskell-digest 0.0.1.2-10
haskell-distributive 0.6-10
haskell-dlist 0.8.0.5-2
haskell-easy-file 0.2.2-4
haskell-echo 0.1.3-7
haskell-ed25519 0.0.5.0-9
haskell-edit-distance 0.2.2.1-10
haskell-either 5.0.1-23
haskell-enclosed-exceptions 1.0.3-10
haskell-exceptions 0.10.0-8
haskell-extra 1.6.13-1
haskell-fast-logger 2.4.11-7
haskell-file-embed 0.0.11-2
haskell-filelock 0.1.1.2-7
haskell-foundation 0.0.21-14
haskell-free 5.1-21
haskell-fsnotify 0.3.0.1-21
haskell-generic-deriving 1.12.2-15
haskell-githash 0.1.2.0-3
haskell-gitrev 1.3.1-10
haskell-glob 0.9.3-3
haskell-hackage-security 0.5.3.0-32
haskell-hashable 1.2.7.0-4
haskell-hastache 0.6.1-16
haskell-hinotify 0.4-2
haskell-hourglass 0.2.12-7
haskell-hpack 0.31.0-27
haskell-hscolour 1.24.4-4
haskell-hspec 2.5.5-9
haskell-hspec-core 2.5.5-9
haskell-hspec-discover 2.5.5-5
haskell-hspec-expectations 0.8.2-9
haskell-hspec-smallcheck 0.5.2-29
haskell-http 4000.3.12-78
haskell-http-api-data 0.3.10-5
haskell-http-client 0.5.13.1-25
haskell-http-client-tls 0.3.5.3-82
haskell-http-conduit 2.3.2-73
haskell-http-types 0.12.2-7
haskell-hunit 1.6.0.0-8
haskell-ieee754 0.8.0-8
haskell-infer-license 0.2.0-9
haskell-integer-logarithms 1.0.2.2-2
haskell-libyaml 0.1.0.0-3
haskell-lifted-async 0.10.0.3-7
haskell-lifted-base 0.2.3.12-23
haskell-logict 0.6.0.2-9
haskell-math-functions 0.3.0.2-2
haskell-megaparsec 6.5.0-28
haskell-memory 0.14.18-6
haskell-microlens 0.4.10-1
haskell-microlens-mtl 0.1.11.1-9
haskell-microlens-th 0.4.2.3-3
haskell-mime-types 0.1.0.8-2
haskell-mintty 0.1.2-3
haskell-mmorph 1.1.2-5
haskell-monad-control 1.0.2.3-23
haskell-monad-logger 0.3.30-2
haskell-monad-loops 0.4.3-10
haskell-mono-traversable 1.0.9.0-20
haskell-mustache 2.3.0-110
haskell-mwc-random 0.14.0.0-4
haskell-neat-interpolation 0.3.2.2-17
haskell-network 2.7.0.2-14
haskell-network-uri 2.6.1.0-14
haskell-old-locale 1.0.0.7-15
haskell-old-time 1.1.0.3-15
haskell-open-browser 0.2.1.0-10
haskell-optparse-applicative 0.14.3.0-3
haskell-optparse-simple 0.1.0-19
haskell-parser-combinators 1.0.0-3
haskell-path 0.6.1-71
haskell-path-io 1.4.0-17
haskell-path-pieces 0.2.1-15
haskell-pem 0.2.4-32
haskell-persistent 2.8.2-95
haskell-persistent-sqlite 2.8.2-41
haskell-persistent-template 2.5.4-121
haskell-pid1 0.1.2.0-7
haskell-polyparse 1.12.1-1
haskell-prelude-extras 0.4.0.3-9
haskell-primitive 0.6.4.0-2
haskell-profunctors 5.3-17
haskell-project-template 0.2.0.1-99
haskell-quickcheck 2.11.3-5
haskell-quickcheck-io 0.2.0-13
haskell-random 1.1-13
haskell-refact 0.3.0.2-10
haskell-regex-applicative 0.3.3-9
haskell-regex-applicative-text 0.1.0.1-11
haskell-resolv 0.1.1.1-16
haskell-resource-pool 0.2.3.2-51
haskell-resourcet 1.2.2-5
haskell-retry 0.7.7.0-15
haskell-rio 0.1.5.0-15
haskell-safe 0.3.17-3
